Repet;SeptoF3;SeptoF2;SeptoF1;RouilF3;RouilF2;RouilF1
240UN ZA;10;8;5;3;2;1
240UN ZA;8;5;5;2;1;0
240UN ZA;8;4;2;5;5;2
240UN ZA;15;8;10;2;1;1
240UN ZA;10;2;5;2;2;1
240UN ZA;15;5;1;3;5;5
240UN ZA;25;10;20;3;1;10
240UN ZA;20;5;2;10;5;5
240UN ZA;8;8;3;15;10;5
240UN ZA;3;10;3;6;3;3
240UN ZA;8;5;3;8;10;2
240UN ZA;95;50;30;5;3;0
240UN ZA;12;15;10;10;5;3
240UN ZA;30;5;4;10;3;1
240UN ZA;80;10;10;2;0;0
240UN ZA;10;4;2;20;10;5
240UN ZA;12;20;10;5;2;1
240UN ZA;5;1;1;4;8;2
240UN ZA;5;0;0;3;1;0
240UN ZA;15;5;2;8;5;3
240UN ZA;50;15;5;3;5;1
240UN ZA;30;8;5;15;10;5
240UN ZA;20;5;5;4;3;0
240UN ZA;15;5;2;8;4;2
240UN ZA;20;8;5;3;8;2
240UN ZA;8;4;2;15;8;3
240UN ZA;4;2;1;1;5;5
240UN ZA;8;5;4;5;1;0
240UN ZA;30;8;4;2;0;0
240UN ZA;5;5;3;1;2;4
240UN ZB;5;3;3;2;10;3
240UN ZB;3;15;10;5;3;2
240UN ZB;8;5;3;13;5;3
240UN ZB;2;2;5;2;7;10
240UN ZB;6;12;7;15;5;5
240UN ZB;5;5;8;50;45;13
240UN ZB;3;2;0;3;1;1
240UN ZB;5;3;2;5;3;1
240UN ZB;3;1;8;15;5;3
240UN ZB;10;3;2;2;3;1
240UN ZB;40;8;8;3;5;5
240UN ZB;25;5;2;3;2;2
240UN ZB;15;8;2;5;2;5
240UN ZB;3;2;2;7;5;2
240UN ZB;8;3;8;10;10;7
240UN ZB;5;2;2;10;5;2
240UN ZB;2;2;1;5;3;1
240UN ZB;8;5;5;10;10;3
240UN ZB;7;5;2;3;5;3
240UN ZB;5;3;3;5;5;1
240UN ZB;5;1;1;5;5;2
240UN ZB;5;3;2;7;8;2
240UN ZB;10;3;2;3;5;2
240UN ZB;10;29;15;10;30;5
240UN ZB;10;3;2;3;2;2
240UN ZB;5;3;2;5;3;1
240UN ZB;10;3;0;3;10;3
240UN ZB;35;10;5;5;3;1
240UN ZB;60;2;2;5;10;3
240UN ZB;5;3;3;5;1;1
